age	everyone	SEX1	SEX2	origREP	natMAL	natMALf	natMALm	natFO	natFOf	natFOm	empEMP	empEMPf	empEMPm	empUNEMP	empUNEMPf	empUNEMPm	empNILF	empNILFf	empNILFm	eduMS	eduMSf	eduMSm	eduHS	eduHSf	eduHSm	eduDIPL	eduDIPLf	eduDIPLm	eduDIPM	eduDIPMf	eduDIPMm	eduBS	eduBSf	eduBSm	eduADV	eduADVf	eduADVm	eduNC	eduNCf	eduNCm	origMALE	origMALEf	origMALEm	origAD	origADf	origADm	origNON	origNONf	origNONm
59	0.019125683	0.016969697	0.020895522	0.019125683	0.017573696	0.015931373	0.018987342	0.060606061	0.111111111	0.052631579	0.01665206	0.020648968	0.014962594	0	0	0	0.02519685	0.015350877	0.05027933	0.025	0	0.033333333	0	0	0	0.019607843	0	0.03125	0.058823529	0.096774194	0.042253521	0	0	0	0	0	0	0.012888552	0.012779553	0.012987013	0.022690438	0.028368794	0.017910448	0.01805675	0.011070111	0.024154589	0	0	0
60	0.012137559	0.013636364	0.010935601	0.012137559	0.012073864	0.01236476	0.011826544	0.013333333	0.076923077	0	0.010857763	0.018939394	0.00761035	0	0	0	0.015122873	0.010526316	0.026845638	0	0	0	0	0	0	0	0	0	0.012048193	0	0.016393443	0	0	0	0	0	0	0.010232558	0.011560694	0.008992806	0.01183432	0.012987013	0.010869565	0.011853448	0.011737089	0.011952191	0.020833333	0.333333333	0
61	0.011226945	0.008960573	0.013062409	0.011226945	0.009950249	0.00729927	0.012158055	0.048780488	0.1	0.032258065	0.007989348	0.008658009	0.007692308	0	0	0	0.016913319	0.009615385	0.031055901	0.037037037	0.25	0	0.2	0	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0.009782609	0.004484305	0.014767932	0.02173913	0.021978022	0.021551724	0.004962779	0.002666667	0.006960557	0.037037037	0	0.038461538
62	0.015019763	0.008305648	0.021116139	0.015019763	0.014814815	0.006791171	0.022364217	0.02	0.076923077	0	0.012295082	0.004237288	0.016129032	0	0	0	0.020120724	0.011428571	0.040816327	0.032258065	0.1	0	0.25	0.5	0	0.071428571	0	0.103448276	0.01369863	0	0.018518519	0	0	0	0	0	0	0.011098779	0.004301075	0.018348624	0.030092593	0.009302326	0.050691244	0.007528231	0.007792208	0.007281553	0	0	0
63	0.01048951	0.007272727	0.013468013	0.01048951	0.008952551	0.005504587	0.012237762	0.074074074	0.2	0.045454545	0.011111111	0.010362694	0.011441648	0	0	0	0.010204082	0.005763689	0.020979021	0.038461538	0	0.045454545	0	0	0	0	0	0	0.037037037	0.076923077	0.024390244	0	0	0	0.2	0.5	0	0.007025761	0.004494382	0.009779951	0.012106538	0.015384615	0.009174312	0.008415147	0.002824859	0.013927577	0.055555556	0	0.058823529
64	0.020408163	0.010830325	0.028315946	0.020408163	0.019966722	0.010968921	0.027480916	0.043478261	0	0.0625	0.022288262	0.01010101	0.027368421	0	0	0	0.017374517	0.011627907	0.028735632	0.038461538	0	0.0625	0.5	0	1	0	0	0	0.042857143	0.045454545	0.041666667	0	0	0	0.125	0	0.142857143	0.011560694	0.007425743	0.015184382	0.024943311	0.00921659	0.040178571	0.015936255	0.011869436	0.019230769	0.064516129	0	0.064516129
65	0.014828545	0.009416196	0.020072993	0.014828545	0.014191107	0.009541985	0.018761726	0.045454545	0	0.066666667	0.011574074	0.007042254	0.013793103	0	0	0	0.014469453	0.007853403	0.025	0.076923077	0.142857143	0.052631579	0	0	0	0.032258065	0	0.045454545	0.019607843	0	0.028571429	0	0	0	0	0	0	0.007537688	0.004842615	0.010443864	0.016548463	0.023696682	0.009433962	0.014084507	0	0.028125	0	0	0
66	0.012133468	0.010060362	0.014227642	0.012133468	0.011316872	0.01010101	0.012578616	0.058823529	0	0.066666667	0.007792208	0	0.012	0.071428571	0	0.083333333	0.012280702	0.011560694	0.013392857	0.090909091	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005298013	0.002666667	0.007894737	0.016233766	0.011764706	0.02173913	0.010463378	0.009174312	0.011695906	0	0	0
67	0.015447992	0.014736842	0.016129032	0.015447992	0.015690377	0.014861996	0.016494845	0	0	0	0.012195122	0.009803922	0.013274336	0	0	0	0.017628205	0.016393443	0.019379845	0.117647059	0.5	0.066666667	0	0	0	0	0	0	0.026315789	0	0.041666667	0	0	0	0	0	0	0.009749304	0.005586592	0.013888889	0.01994302	0.016574586	0.023529412	0.013179572	0.013605442	0.012779553	0	0	0
68	0.015889831	0.006437768	0.025104603	0.015889831	0.016111708	0.006451613	0.025751073	0	0	0	0.015625	0.008064516	0.020408163	0	0	0	0.016528926	0.005970149	0.02962963	0	0	0	0	0	0	0.034482759	0	0.045454545	0.038461538	0	0.045454545	0	0	0	0	0	0	0.012676056	0.005319149	0.020958084	0.021052632	0.013071895	0.03030303	0.013888889	0.003194888	0.023880597	0	0	0
69	0.008938547	0.004535147	0.013215859	0.008938547	0.009070295	0.004587156	0.013452915	0	0	0	0	0	0	0	0	0	0.013114754	0.005763689	0.022813688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007418398	0.005780347	0.009146341	0.011320755	0.007092199	0.016129032	0.00805153	0.003333333	0.012461059	0	0	0
70	0.013875124	0.004048583	0.023300971	0.013875124	0.011033099	0.004065041	0.017821782	0.25	0	0.3	0.012145749	0	0.01863354	0	0	0	0.013550136	0.005037783	0.023460411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01192053	0.005194805	0.018918919	0.021276596	0.006711409	0.037593985	0.011111111	0.002898551	0.018666667	0	0	0
71	0.017782427	0.008064516	0.02826087	0.017782427	0.016824395	0.008064516	0.026373626	0.2	0	0.2	0.018957346	0.013513514	0.02189781	0	0	0	0.01810585	0.007371007	0.032154341	0	0	0	0	0	0	0	0	0	0.083333333	0.333333333	0	0.333333333	0	0.333333333	0	0	0	0.012482663	0.005154639	0.021021021	0.011811024	0.006993007	0.018018018	0.018651363	0.008498584	0.029069767	0.2	0	0.2
72	0.010989011	0.00621118	0.015444015	0.010989011	0.011122346	0.006237006	0.015748031	0	0	0	0.013392857	0	0.018181818	0	0	0	0.010638298	0.007263923	0.014749263	0	0	0	0	0	0	0	0	0	0.034482759	0	0.052631579	0	0	0	0	0	0	0.007894737	0.002673797	0.012953368	0.013793103	0.006756757	0.021126761	0.009943182	0.005970149	0.013550136	0	0	0
73	0.017913593	0.009478673	0.024667932	0.017913593	0.017951426	0.009478673	0.024761905	0	0	0	0.018018018	0.013888889	0.02	0.5	0	0.5	0.015804598	0.00887574	0.022346369	0.222222222	0	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011510791	0.009433962	0.013262599	0.022727273	0.008474576	0.034246575	0.016152717	0.009868421	0.021220159	0	0	0
74	0.013620885	0.006880734	0.020224719	0.013620885	0.012557078	0.006896552	0.01814059	0.2	0	0.25	0.0125	0	0.018691589	0	0	0	0.014367816	0.008108108	0.021472393	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.005979073	0.00308642	0.008695652	0.014851485	0.009090909	0.02173913	0.013274336	0.006153846	0.019830028	0	0	0
75	0.017241379	0.007334963	0.026030369	0.017241379	0.016129032	0.007334963	0.023965142	0.5	0	0.5	0.007462687	0	0.010869565	0	0	0	0.019690577	0.008522727	0.030640669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016129032	0.006756757	0.024691358	0.030042918	0.016129032	0.04587156	0.012618297	0.003508772	0.020057307	0	0	0
76	0.009864365	0.005208333	0.014051522	0.009864365	0.00990099	0.005208333	0.014150943	0	0	0	0	0	0	0	0	0	0.012121212	0.005813953	0.018987342	0	0	0	0	0	0	0.111111111	0	0.111111111	0	0	0	0	0	0	0	0	0	0.010526316	0.00729927	0.013513514	0.005376344	0	0.012195122	0.011254019	0.007168459	0.014577259	0	0	0
77	0.013888889	0.005571031	0.022160665	0.013888889	0.013908206	0.005571031	0.022222222	0	0	0	0.009009009	0	0.013513514	0	0	0	0.015332198	0.006578947	0.024734982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009615385	0	0.019083969	0.005988024	0	0.014084507	0.016274864	0.007604563	0.024137931	0	0	0
78	0.01641791	0.012539185	0.01994302	0.01641791	0.013493253	0.012539185	0.014367816	0.666666667	0	0.666666667	0.036697248	0.026315789	0.042253521	0	0	0	0.012820513	0.010989011	0.014652015	0.666666667	1	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014675052	0.009090909	0.019455253	0.04137931	0.043478261	0.039473684	0.00952381	0.004	0.014545455	0	0	0
79	0.015050167	0	0.026315789	0.015050167	0.015050167	0	0.026315789	0	0	0	0	0	0	0	0	0	0.015717092	0	0.028776978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004914005	0	0.008658009	0.015384615	0	0.03030303	0.014957265	0	0.025362319	0	0	0
80	0.008992806	0.008510638	0.009345794	0.008992806	0.009057971	0.008510638	0.009463722	0	0	0	0	0	0	0	0	0	0.008247423	0.009259259	0.007434944	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002777778	0	0.004901961	0.015748031	0.016129032	0.015384615	0.006993007	0.005780347	0.0078125	0	0	0
81	0.00990099	0.005813953	0.012931034	0.00990099	0.009925558	0.005813953	0.012987013	0	0	0	0.018518519	0	0.023255814	0	0	0	0.008955224	0.006369427	0.011235955	0	0	0	0	0	0	0	0	0	0.090909091	0	0.111111111	0	0	0	0	0	0	0	0	0	0.034883721	0.025	0.043478261	0.003154574	0	0.005405405	0	0	0
82	0.024	0.006369427	0.036697248	0.024	0.024	0.006369427	0.036697248	0	0	0	0.04	0	0.052631579	0	0	0	0.023880597	0.006802721	0.037234043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017467249	0	0.030534351	0	0	0	0.030201342	0.009433962	0.041666667	0	0	0
83	0.006872852	0	0.010471204	0.006872852	0.006896552	0	0.010526316	0	0	0	0.043478261	0	0.055555556	0	0	0	0.003921569	0	0.006097561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010928962	0	0.017699115	0.017241379	0	0.027027027	0.004291845	0	0.006493506	0	0	0
84	0.017182131	0.009090909	0.022099448	0.017182131	0.017301038	0.009090909	0.022346369	0	0	0	0	0	0	0	0	0	0.019685039	0.009708738	0.026490066	0	0	0	0	0	0	0	0	0	0.4	0	0.4	0	0	0	0	0	0	0	0	0	0.04	0	0.060606061	0.012448133	0.010752688	0.013513514	0	0	0
85	0.016949153	0.011235955	0.020408163	0.016949153	0.017241379	0.011363636	0.020833333	0	0	0	0.05	0	0.071428571	0	0	0	0.014218009	0.012345679	0.015384615	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0.0078125	0	0.011904762	0.020408163	0	0.033333333	0.016042781	0.014285714	0.017094017	0	0	0
86	0.01875	0.014925373	0.021505376	0.01875	0.012578616	0	0.021505376	1	1	0	0.090909091	0.333333333	0	0	0	0	0.006896552	0	0.012048193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02247191	0.026315789	0.019607843	0	0	0	0.016260163	0	0.027027027	1	1	0
87	0.007407407	0.018518519	0	0.007407407	0.007407407	0.018518519	0	0	0	0	0	0	0	0	0	0	0.007936508	0.019230769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024390244	0.043478261	0	0	0	0	0	0	0
88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
89	0.026666667	0.033333333	0.022222222	0.026666667	0.027027027	0.033333333	0.022727273	0	0	0	0	0	0	0	0	0	0.028985507	0.034482759	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027777778	0	0.043478261	0	0	0	0.032258065	0.041666667	0.026315789	0	0	0
90	0.037037037	0.033333333	0.039215686	0.037037037	0.0375	0.033333333	0.04	0	0	0	0	0	0	0	0	0	0.042253521	0.037037037	0.045454545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.049180328	0.047619048	0.05	0	0	0
91	0.018181818	0	0.027777778	0.018181818	0	0	0	0.5	0	0.5	0.166666667	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028571429	0	0.041666667	0.083333333	0	0.166666667	0	0	0	0	0	0
92	0.03125	0	0.05	0.03125	0	0	0	0.5	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.038461538	0	0.0625	0	0	0
93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
98	0.029411765	0	0.045454545	0.029411765	0.029411765	0	0.045454545	0	0	0	0	0	0	0	0	0	0.032258065	0	0.045454545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0.125	0	0	0	0	0	0
